Pfam		Integer
PF00004		0
PF00005		1
PF00006		2
PF00010		3
PF00011		4
PF00016		5
PF00024		6
PF00026		7
PF00027		8
PF00031		9
PF00035		10
PF00042		11
PF00046		12
PF00056		13
PF00059		14
PF00060		15
PF00069		16
PF00076		17
PF00080		18
PF00082		19
PF00085		20
PF00089		21
PF00091		22
PF00092		23
PF00097		24
PF00098		25
PF00102		26
PF00107		27
PF00108		28
PF00109		29
PF00111		30
PF00112		31
PF00117		32
PF00125		33
PF00127		34
PF00128		35
PF00133		36
PF00134		37
PF00135		38
PF00137		39
PF00139		40
PF00141		41
PF00144		42
PF00149		43
PF00150		44
PF00155		45
PF00156		46
PF00160		47
PF00168		48
PF00169		49
PF00170		50
PF00171		51
PF00174		52
PF00175		53
PF00176		54
PF00180		55
PF00182		56
PF00188		57
PF00189		58
PF00190		59
PF00195		60
PF00198		61
PF00199		62
PF00210		63
PF00215		64
PF00218		65
PF00224		66
PF00234		67
PF00244		68
PF00246		69
PF00248		70
PF00249		71
PF00251		72
PF00252		73
PF00254		74
PF00266		75
PF00270		76
PF00271		77
PF00275		78
PF00288		79
PF00291		80
PF00293		81
PF00294		82
PF00303		83
PF00307		84
PF00319		85
PF00326		86
PF00327		87
PF00329		88
PF00330		89
PF00334		90
PF00346		91
PF00347		92
PF00361		93
PF00364		94
PF00365		95
PF00370		96
PF00382		97
PF00383		98
PF00389		99
PF00391		100
PF00403		101
PF00407		102
PF00413		103
PF00439		104
PF00441		105
PF00443		106
PF00447		107
PF00454		108
PF00456		109
PF00462		110
PF00464		111
PF00472		112
PF00478		113
PF00481		114
PF00483		115
PF00485		116
PF00487		117
PF00497		118
PF00498		119
PF00501		120
PF00505		121
PF00534		122
PF00535		123
PF00536		124
PF00542		125
PF00550		126
PF00551		127
PF00557		128
PF00561		129
PF00562		130
PF00564		131
PF00567		132
PF00571		133
PF00576		134
PF00578		135
PF00581		136
PF00582		137
PF00588		138
PF00590		139
PF00591		140
PF00596		141
PF00615		142
PF00622		143
PF00626		144
PF00631		145
PF00635		146
PF00636		147
PF00644		148
PF00646		149
PF00650		150
PF00651		151
PF00657		152
PF00665		153
PF00673		154
PF00676		155
PF00682		156
PF00685		157
PF00689		158
PF00690		159
PF00694		160
PF00696		161
PF00697		162
PF00704		163
PF00707		164
PF00717		165
PF00724		166
PF00725		167
PF00728		168
PF00730		169
PF00732		170
PF00749		171
PF00754		172
PF00780		173
PF00781		174
PF00782		175
PF00787		176
PF00793		177
PF00808		178
PF00814		179
PF00817		180
PF00849		181
PF00850		182
PF00855		183
PF00856		184
PF00857		185
PF00883		186
PF00884		187
PF00888		188
PF00890		189
PF00891		190
PF00892		191
PF00899		192
PF00903		193
PF00909		194
PF00916		195
PF00930		196
PF00931		197
PF00933		198
PF00955		199
PF00982		200
PF00999		201
PF01028		202
PF01029		203
PF01048		204
PF01058		205
PF01061		206
PF01073		207
PF01074		208
PF01087		209
PF01088		210
PF01094		211
PF01095		212
PF01103		213
PF01105		214
PF01106		215
PF01113		216
PF01137		217
PF01138		218
PF01145		219
PF01167		220
PF01168		221
PF01170		222
PF01171		223
PF01172		224
PF01176		225
PF01180		226
PF01182		227
PF01205		228
PF01212		229
PF01243		230
PF01248		231
PF01259		232
PF01261		233
PF01273		234
PF01281		235
PF01287		236
PF01301		237
PF01321		238
PF01323		239
PF01326		240
PF01336		241
PF01343		242
PF01348		243
PF01370		244
PF01397		245
PF01398		246
PF01399		247
PF01408		248
PF01416		249
PF01417		250
PF01423		251
PF01425		252
PF01432		253
PF01433		254
PF01435		255
PF01464		256
PF01466		257
PF01467		258
PF01471		259
PF01476		260
PF01485		261
PF01493		262
PF01494		263
PF01502		264
PF01507		265
PF01509		266
PF01521		267
PF01541		268
PF01553		269
PF01556		270
PF01557		271
PF01565		272
PF01571		273
PF01575		274
PF01578		275
PF01590		276
PF01591		277
PF01592		278
PF01593		279
PF01612		280
PF01624		281
PF01625		282
PF01627		283
PF01636		284
PF01645		285
PF01648		286
PF01656		287
PF01658		288
PF01661		289
PF01699		290
PF01712		291
PF01717		292
PF01728		293
PF01734		294
PF01738		295
PF01743		296
PF01753		297
PF01756		298
PF01761		299
PF01764		300
PF01765		301
PF01775		302
PF01778		303
PF01794		304
PF01814		305
PF01823		306
PF01833		307
PF01841		308
PF01844		309
PF01852		310
PF01869		311
PF01872		312
PF01878		313
PF01883		314
PF01902		315
PF01909		316
PF01915		317
PF01918		318
PF01926		319
PF01928		320
PF01936		321
